step,det0,action0,samp0,vx,speed,wall_distance,gaze,reward
97,-0.304,-0.302,-0.723,-0.348,0.374,0.595,0.000,-1.034
98,-0.304,-0.304,0.457,-0.358,0.387,0.552,0.000,-1.031
99,-0.303,-0.304,1.513,-0.366,0.399,0.515,0.000,-1.028
100,-0.300,-0.303,-1.476,-0.373,0.411,0.483,0.000,-1.025
101,-0.299,-0.300,-0.820,-0.379,0.421,0.457,0.000,-1.022
102,-0.294,-0.299,-1.704,-0.383,0.430,0.438,0.000,-1.019
103,-0.291,-0.294,-2.113,-0.386,0.439,0.426,0.000,-1.016
104,-0.284,-0.291,0.761,-0.388,0.446,0.422,0.000,-1.012
105,-0.279,-0.284,-1.876,-0.389,0.452,0.425,0.000,-1.009
106,-0.275,-0.279,0.537,-0.387,0.456,0.436,0.000,-1.006
107,-0.271,-0.275,0.415,-0.385,0.460,0.463,0.000,-1.003
108,-0.268,-0.271,-0.661,-0.382,0.463,0.573,0.000,-1.000
111,-0.265,-0.265,-1.267,-0.061,0.261,0.562,0.000,-0.997
112,-0.263,-0.265,-1.883,0.000,0.249,0.439,0.000,-0.999
113,-0.262,-0.263,0.978,0.052,0.063,0.394,0.000,-1.016
114,-0.261,-0.262,-1.785,0.019,0.040,0.412,0.000,-1.017
115,-0.261,-0.261,0.104,-0.012,0.036,0.429,0.000,-1.017
116,-0.260,-0.261,-0.167,-0.041,0.051,0.447,0.000,-1.017
117,-0.259,-0.260,0.609,-0.069,0.074,0.466,0.000,-1.016
118,-0.258,-0.259,-0.667,-0.095,0.097,0.487,0.000,-1.014
119,-0.256,-0.258,-0.970,-0.093,0.095,0.511,0.000,-1.014
120,-0.255,-0.256,-0.645,-0.073,0.075,0.532,0.000,-1.014
121,-0.255,-0.255,-2.089,-0.082,0.084,0.552,0.000,-1.014
122,-0.253,-0.255,0.743,-0.089,0.090,0.575,0.000,-1.014
123,-0.252,-0.253,0.574,-0.094,0.095,0.599,0.000,-1.014
168,-0.315,-0.318,0.562,-0.456,0.517,0.469,0.916,1.006
169,-0.318,-0.315,-0.882,-0.205,0.242,0.395,0.967,1.001
170,-0.320,-0.318,0.720,-0.183,0.250,0.412,1.000,1.001
171,-0.321,-0.320,-1.942,-0.195,0.266,0.420,0.997,1.003
172,-0.321,-0.321,-0.111,-0.217,0.281,0.417,0.994,1.004
173,-0.322,-0.321,0.674,-0.244,0.296,0.403,0.994,1.006
174,-0.322,-0.322,0.236,-0.130,0.214,0.403,0.998,0.998
175,-0.321,-0.322,-0.954,-0.141,0.228,0.400,0.999,0.999
176,-0.321,-0.321,-1.466,-0.076,0.174,0.400,0.982,0.994
177,-0.319,-0.321,1.650,-0.049,0.150,0.400,0.945,0.991
178,-0.317,-0.319,-0.033,-0.021,0.118,0.400,0.893,0.988
179,-0.316,-0.317,-0.110,-0.007,0.093,0.400,0.837,0.986
180,-0.314,-0.316,-0.194,0.000,0.070,0.400,0.786,0.985
181,-0.313,-0.314,1.531,0.004,0.049,0.400,0.745,0.985
182,-0.312,-0.313,0.385,0.005,0.031,0.400,0.716,0.984
183,-0.313,-0.312,0.315,0.003,0.016,0.400,0.701,-0.007
184,-0.313,-0.313,0.136,0.001,0.003,0.400,0.699,-0.007
185,-0.313,-0.313,1.188,-0.001,0.008,0.400,0.706,-0.007
186,-0.314,-0.313,-0.531,-0.003,0.016,0.400,0.722,-0.007
187,-0.312,-0.314,1.195,-0.003,0.022,0.400,0.744,0.993
188,-0.311,-0.312,-0.924,-0.003,0.027,0.400,0.769,0.984
189,-0.310,-0.311,-1.643,-0.002,0.030,0.400,0.797,0.984
190,-0.310,-0.310,0.819,-0.001,0.031,0.400,0.824,0.983
191,-0.310,-0.310,1.931,0.000,0.032,0.400,0.850,0.983
192,-0.307,-0.310,0.604,0.002,0.031,0.400,0.874,-0.011
193,-0.306,-0.307,-1.605,0.003,0.030,0.400,0.896,-0.011
194,-0.305,-0.306,-0.489,0.004,0.028,0.400,0.915,-0.011
195,-0.305,-0.305,0.710,0.004,0.026,0.400,0.931,-0.011
196,-0.304,-0.305,1.021,0.005,0.024,0.400,0.945,-0.011
197,-0.303,-0.304,-0.183,0.004,0.021,0.400,0.956,-0.011
198,-0.302,-0.303,-1.333,0.003,0.018,0.400,0.965,-0.012
199,-0.301,-0.302,0.274,0.003,0.015,0.400,0.972,-0.012
200,-0.299,-0.301,-0.074,0.003,0.013,0.400,0.978,-0.012
