trial_number,value,state,params
0,0.95,COMPLETE,"{"dist_bonus_scale": 0.15369033573252053}"
1,0.93,COMPLETE,"{"dist_bonus_scale": 0.2764939829808844}"
2,0.97,COMPLETE,"{"dist_bonus_scale": 0.09921564851352165}"
3,0.97,COMPLETE,"{"dist_bonus_scale": 0.09621920367050897}"
4,0.96,COMPLETE,"{"dist_bonus_scale": 0.09255701771583111}"
5,0.98,COMPLETE,"{"dist_bonus_scale": 0.2818161784725152}"
6,0.95,COMPLETE,"{"dist_bonus_scale": 0.02946575501644549}"
7,0.99,COMPLETE,"{"dist_bonus_scale": 0.04051322189490795}"
8,0.96,COMPLETE,"{"dist_bonus_scale": 0.02228738092031289}"
9,0.98,COMPLETE,"{"dist_bonus_scale": 0.030841491494993656}"
10,0.96,COMPLETE,"{"dist_bonus_scale": 0.19540667846776172}"
11,0.97,COMPLETE,"{"dist_bonus_scale": 0.27863570633561935}"
12,0.93,COMPLETE,"{"dist_bonus_scale": 0.2134109141077658}"
13,0.97,COMPLETE,"{"dist_bonus_scale": 0.21991258849224862}"
14,0.97,COMPLETE,"{"dist_bonus_scale": 0.15594281117044947}"
15,0.99,COMPLETE,"{"dist_bonus_scale": 0.06575710343249362}"
16,0.94,COMPLETE,"{"dist_bonus_scale": 0.0663372912388775}"
17,0.98,COMPLETE,"{"dist_bonus_scale": 0.06814018389924471}"
18,0.91,COMPLETE,"{"dist_bonus_scale": 0.003977676983663109}"
19,0.96,COMPLETE,"{"dist_bonus_scale": 0.11907001026558578}"
20,0.98,COMPLETE,"{"dist_bonus_scale": 0.059604658951647564}"
21,0.96,COMPLETE,"{"dist_bonus_scale": 0.2546474884464955}"
22,0.93,COMPLETE,"{"dist_bonus_scale": 0.1285361803597866}"
23,0.93,COMPLETE,"{"dist_bonus_scale": 0.1835474451401537}"
24,0.95,COMPLETE,"{"dist_bonus_scale": 0.05205344258665727}"
25,0.96,COMPLETE,"{"dist_bonus_scale": 0.2553649644043356}"
26,0.97,COMPLETE,"{"dist_bonus_scale": 0.0036744489189319274}"
27,0.97,COMPLETE,"{"dist_bonus_scale": 0.12795179583611108}"
28,0.97,COMPLETE,"{"dist_bonus_scale": 0.29901509355204603}"
29,0.97,COMPLETE,"{"dist_bonus_scale": 0.15266701563233243}"
30,0.97,COMPLETE,"{"dist_bonus_scale": 0.039385950031671724}"
31,0.94,COMPLETE,"{"dist_bonus_scale": 0.07311278091898982}"
32,0.93,COMPLETE,"{"dist_bonus_scale": 0.043339425561723266}"
33,0.95,COMPLETE,"{"dist_bonus_scale": 0.01996590762609447}"
34,0.97,COMPLETE,"{"dist_bonus_scale": 0.08611877013959099}"
35,0.99,COMPLETE,"{"dist_bonus_scale": 0.10943062407584495}"
36,0.95,COMPLETE,"{"dist_bonus_scale": 0.10515887096319063}"
37,0.97,COMPLETE,"{"dist_bonus_scale": 0.0811122471599465}"
38,0.96,COMPLETE,"{"dist_bonus_scale": 0.11346951586464053}"
39,0.96,COMPLETE,"{"dist_bonus_scale": 0.13894898932944164}"
