number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
0,128.65,2026-02-02 23:51:45.678579,2026-02-02 23:54:19.739539,0 days 00:02:34.060960,-0.21117030130614456,0.1622300353129225,0.11431455537896013,8.220470743707812e-05,0.0002738257504586531,COMPLETE
1,109.05,2026-02-02 23:54:19.744827,2026-02-02 23:56:42.306821,0 days 00:02:22.561994,-0.1950337946023255,0.19837753781882828,0.03261870636167269,0.0001771950478788116,4.881829596700288e-05,COMPLETE
2,120.4,2026-02-02 23:56:42.311826,2026-02-02 23:59:13.903957,0 days 00:02:31.592131,-0.9988054549610985,0.04620759966106313,0.21832794805694927,6.998492066648586e-05,0.00018530853466118462,COMPLETE
3,136.15,2026-02-02 23:59:13.907321,2026-02-03 00:01:43.088950,0 days 00:02:29.181629,-0.6338373692795312,0.11252414319222237,0.43428135794838607,0.0009154558843137672,1.9849420321076578e-05,COMPLETE
4,125.7,2026-02-03 00:01:43.092510,2026-02-03 00:04:12.318166,0 days 00:02:29.225656,-0.4821579399859379,0.09614555827444,0.26993851856264195,0.00013191948960386758,0.00018890387072506944,COMPLETE
5,84.6,2026-02-03 00:04:12.321471,2026-02-03 00:06:43.632361,0 days 00:02:31.310890,-0.7241283611296412,0.1726207807269095,0.4478970343058969,0.00017643867049563875,0.0002338858481539903,COMPLETE
6,119.55000000000001,2026-02-03 00:06:43.635431,2026-02-03 00:09:17.403490,0 days 00:02:33.768059,-0.10561376500385511,0.05005615537275548,0.4735738149111507,5.798533757197581e-05,3.092378258243018e-05,COMPLETE
7,,2026-02-03 00:09:17.406589,2026-02-03 00:10:56.499171,0 days 00:01:39.092582,-0.127367053608907,0.06269360395609483,0.0999622034861512,0.0005486719392146073,4.3817229422865434e-05,FAIL
8,127.1,2026-02-03 00:12:42.941574,2026-02-03 00:15:12.329255,0 days 00:02:29.387681,-0.9616347957478736,0.1686192129700684,0.20774131195691653,0.0007899415387675074,4.759434588360585e-05,COMPLETE
9,168.8,2026-02-03 00:15:12.334180,2026-02-03 00:17:38.636164,0 days 00:02:26.301984,-0.45935248640137905,0.14058346297232813,0.3962534038925182,0.0001625016847839935,2.3225817051272233e-05,COMPLETE
10,118.4,2026-02-03 00:17:38.640048,2026-02-03 00:20:04.249759,0 days 00:02:25.609711,-0.4073614411077996,0.17271818106207762,0.2684116077456051,0.00011567608695015536,0.00010427689536631553,COMPLETE
11,125.05000000000001,2026-02-03 00:20:04.253182,2026-02-03 00:22:30.377322,0 days 00:02:26.124140,-0.3511231469129297,0.13271573658535132,0.3661367857280529,0.0004029944483659259,1.0799541796417714e-05,COMPLETE
12,108.5,2026-02-03 00:22:30.380688,2026-02-03 00:24:56.443233,0 days 00:02:26.062545,-0.6838450715721067,0.1294035709658506,0.378647439926461,0.00034872134568805053,1.5243572765852945e-05,COMPLETE
13,166.0,2026-02-03 00:24:56.446288,2026-02-03 00:27:23.175750,0 days 00:02:26.729462,-0.6234204297951998,0.11660523528717402,0.38002896919592677,0.0009531874085547475,2.3350636591537173e-05,COMPLETE
14,153.85,2026-02-03 00:27:23.179434,2026-02-03 00:29:56.870307,0 days 00:02:33.690873,-0.7715613174249647,0.1429529118205149,0.3507841988034948,0.0003209056295117298,2.7025290273628765e-05,COMPLETE
15,161.8,2026-02-03 00:29:56.873714,2026-02-03 00:32:23.799327,0 days 00:02:26.925613,-0.5284165622455048,0.12234617187643529,0.32332057695925154,0.0005648809874395627,8.320453338208794e-05,COMPLETE
16,153.14999999999998,2026-02-03 00:32:23.802467,2026-02-03 00:34:49.617065,0 days 00:02:25.814598,-0.8245615027300667,0.10783860284960967,0.4075842394683286,0.0002778700675152874,3.216080207379355e-05,COMPLETE
17,166.75,2026-02-03 00:34:49.620227,2026-02-03 00:37:16.190861,0 days 00:02:26.570634,-0.5992561415518906,0.14968211057712943,0.48727489029667115,0.0005492050790934368,1.0127994345350271e-05,COMPLETE
18,152.25,2026-02-03 00:37:16.193796,2026-02-03 00:39:43.492033,0 days 00:02:27.298237,-0.362873842096692,0.15117409582598249,0.49140605687448263,0.0005251242138557264,1.0402529693921408e-05,COMPLETE
19,153.25,2026-02-03 00:39:43.494946,2026-02-03 00:42:09.980564,0 days 00:02:26.485618,-0.48075757876683595,0.1499537929029065,0.31078704645239996,0.0002317032901336135,1.5538076162166864e-05,COMPLETE
20,149.6,2026-02-03 00:42:09.983820,2026-02-03 00:44:36.346644,0 days 00:02:26.362824,-0.8876776443033363,0.18132936154349535,0.49745613967941343,0.0004975285747631097,1.5240981216879078e-05,COMPLETE
21,144.25,2026-02-03 00:44:36.349955,2026-02-03 00:47:02.367475,0 days 00:02:26.017520,-0.5681921195005889,0.14219924218753902,0.42869338787313116,0.00010806854592414844,3.985855721466137e-05,COMPLETE
22,158.35,2026-02-03 00:47:02.370619,2026-02-03 00:49:28.701994,0 days 00:02:26.331375,-0.5682901239238085,0.1535923411564383,0.39829760188609054,0.0006956575320386933,2.0250778624505875e-05,COMPLETE
23,109.69999999999999,2026-02-03 00:49:28.705222,2026-02-03 00:51:54.105512,0 days 00:02:25.400290,-0.649123925931417,0.13512218481174715,0.31952761503505517,0.0009621727201902734,6.678741158425337e-05,COMPLETE
24,136.45,2026-02-03 00:51:54.108603,2026-02-03 00:54:20.325123,0 days 00:02:26.216520,-0.44808041656099207,0.11982713700489545,0.4531601091651509,0.0007077748107148971,2.1866463093024235e-05,COMPLETE
25,126.85000000000001,2026-02-03 00:54:20.328114,2026-02-03 00:56:46.201836,0 days 00:02:25.873722,-0.28882937711503387,0.10545071944843266,0.17231495984455236,0.00017105220118526258,1.246995712916504e-05,COMPLETE
26,131.5,2026-02-03 00:56:46.205285,2026-02-03 00:59:14.477219,0 days 00:02:28.271934,-0.5914290573509023,0.1409111605550369,0.405482164422095,0.00023436823794478252,2.212681998387139e-05,COMPLETE
27,109.45,2026-02-03 00:59:14.480565,2026-02-03 01:01:42.553250,0 days 00:02:28.072685,-0.7124701821830053,0.1579525379953388,0.3454360206360175,0.0004422496411762565,4.008711328681925e-05,COMPLETE
