number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
0,116.5,2026-02-04 21:23:43.408627,2026-02-04 21:25:48.102455,0 days 00:02:04.693828,-0.33361813446196814,0.0007044447869715084,0.9344551987289784,0.0004868946435709074,0.00010408596632333113,COMPLETE
1,139.65,2026-02-04 21:29:08.463824,2026-02-04 21:31:12.313698,0 days 00:02:03.849874,-0.5863015299163702,0.0009043678848513983,1.366636135657501,0.0007754839084445409,0.0001025265854051157,COMPLETE
2,117.85,2026-02-04 21:31:12.318482,2026-02-04 21:33:12.206421,0 days 00:01:59.887939,-0.441294873017295,0.0009379237500403029,0.5960167145294637,0.0005701647012153338,0.00013539351754224385,COMPLETE
3,132.7,2026-02-04 21:33:12.209422,2026-02-04 21:35:12.473979,0 days 00:02:00.264557,-0.1768670189505371,0.00037279732063562045,1.1317059436481296,0.0012137454602713057,0.00014547284489930067,COMPLETE
4,101.95,2026-02-04 21:35:12.477008,2026-02-04 21:37:15.129701,0 days 00:02:02.652693,-0.6392739675043235,0.0004958391843667614,1.4757319237130957,0.0013144632320375442,0.0001241218394562669,COMPLETE
5,119.80000000000001,2026-02-04 21:37:15.132611,2026-02-04 21:39:20.761406,0 days 00:02:05.628795,-0.7343751376582714,0.0007541669640446447,1.007025246581073,0.0005197919657550873,0.0001021422597952109,COMPLETE
6,121.95,2026-02-04 21:39:20.764605,2026-02-04 21:41:23.610669,0 days 00:02:02.846064,-0.7215996765399527,0.00023186839233409784,1.3442769967297261,0.0006981377762908993,0.00010557637457201374,COMPLETE
7,111.85,2026-02-04 21:41:23.613645,2026-02-04 21:43:59.825653,0 days 00:02:36.212008,-0.621322595204862,0.0001294138385760568,1.2464334624853546,0.0017910612624977948,9.838290074762889e-05,COMPLETE
8,143.5,2026-02-04 21:43:59.829141,2026-02-04 21:46:49.989308,0 days 00:02:50.160167,-0.3852061801659857,0.00011575959900838329,0.6222920539008132,0.0008404762889961465,0.00014381029084598694,COMPLETE
9,126.5,2026-02-04 21:46:49.993639,2026-02-04 21:49:42.385197,0 days 00:02:52.391558,-0.4206300980804024,0.0009420986665647203,0.7172704803542083,0.0011713288785914725,0.00014277536056534913,COMPLETE
10,140.3,2026-02-04 21:49:42.388652,2026-02-04 21:53:26.429554,0 days 00:03:44.040902,-0.13869283631275364,1.2183250900445577e-05,0.40452582661591197,0.0003180598140067933,0.00012022335150224976,COMPLETE
