number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
0,0.0,2026-02-05 02:25:30.882510,2026-02-05 02:25:30.922827,0 days 00:00:00.040317,-0.6365337833205977,4.504938098163879e-05,0.25054099194441143,0.0003068121146303538,2.4157194612812796e-05,COMPLETE
1,0.0,2026-02-05 02:25:30.927758,2026-02-05 02:25:30.964790,0 days 00:00:00.037032,-1.2622274208009308,1.3702288760982795e-05,0.7454448807227547,7.187961537570751e-05,1.295037239991077e-05,COMPLETE
2,0.0,2026-02-05 02:25:30.968122,2026-02-05 02:25:30.999417,0 days 00:00:00.031295,-1.1811219725243218,1.4923018889500506e-05,0.7543496472687548,6.118827064533055e-05,1.4332465460489905e-05,COMPLETE
3,0.0,2026-02-05 02:25:31.003288,2026-02-05 02:25:31.035734,0 days 00:00:00.032446,-1.5613825120341027,9.080471375220875e-05,0.719480069384541,0.0009932619474278587,2.0157205188801253e-05,COMPLETE
4,0.0,2026-02-05 02:25:31.038992,2026-02-05 02:25:31.072985,0 days 00:00:00.033993,-1.5762129137657306,6.033654017687779e-05,0.4208870512834234,0.0001875204629312717,2.5874349394085255e-05,COMPLETE
5,0.0,2026-02-05 02:25:31.075901,2026-02-05 02:25:31.107947,0 days 00:00:00.032046,-1.3508088884288105,3.469283353846585e-05,0.23783336110747957,0.0008739972632985426,0.00027276064719114967,COMPLETE
6,0.0,2026-02-05 02:25:31.110814,2026-02-05 02:25:31.142169,0 days 00:00:00.031355,-0.8309577436627149,8.742125144023544e-05,0.18610632703849814,0.0008829713538514823,0.0002562947554372281,COMPLETE
7,0.0,2026-02-05 02:25:31.145250,2026-02-05 02:25:31.177039,0 days 00:00:00.031789,-1.2071552974033821,7.301533322220584e-05,0.2778404516768114,0.0001063264764713307,5.3339749145370973e-05,COMPLETE
8,0.0,2026-02-05 02:25:31.179896,2026-02-05 02:25:31.216885,0 days 00:00:00.036989,-1.2107181671787353,5.873112109994613e-05,0.14725558159379906,5.2251987623648416e-05,4.497245106928019e-05,COMPLETE
9,0.0,2026-02-05 02:25:31.220746,2026-02-05 02:25:31.263938,0 days 00:00:00.043192,-1.603065942166266,5.9654431460013105e-05,0.5460986440083905,0.00038626358382359155,8.552291522805704e-05,COMPLETE
10,0.0,2026-02-05 02:25:31.267255,2026-02-05 02:25:31.312669,0 days 00:00:00.045414,-0.24642643825560517,3.525683393663966e-05,0.06618076702185915,0.00035572211458944356,0.00011658085587814974,COMPLETE
11,0.0,2026-02-05 02:25:31.316351,2026-02-05 02:25:31.362103,0 days 00:00:00.045752,-0.6830260961594526,2.1643022930979445e-06,0.8545893462773743,0.0001749329449722465,1.0134906192770792e-05,COMPLETE
12,0.0,2026-02-05 02:25:31.365445,2026-02-05 02:25:31.399543,0 days 00:00:00.034098,-0.3878529824349475,2.6845111698413124e-05,0.5097947248172388,0.0003745902326860649,2.9867941854914942e-05,COMPLETE
13,0.0,2026-02-05 02:25:31.403083,2026-02-05 02:25:31.445196,0 days 00:00:00.042113,-1.8814989152386015,4.509125462415859e-06,0.9299651057422418,0.00011148990964343305,1.4925984622861878e-05,COMPLETE
14,0.0,2026-02-05 02:25:31.448419,2026-02-05 02:25:31.482199,0 days 00:00:00.033780,-0.6424066083217971,4.4275762164326936e-05,0.3799911223328394,0.00026847302137103084,1.0095529488829762e-05,COMPLETE
15,0.0,2026-02-05 02:25:31.485278,2026-02-05 02:25:31.519493,0 days 00:00:00.034215,-0.04277922555788116,2.0474635177185335e-05,0.6368445258538867,0.0005711794996369785,3.195486360539151e-05,COMPLETE
16,0.0,2026-02-05 02:25:31.522899,2026-02-05 02:25:31.557322,0 days 00:00:00.034423,-0.8581819487109049,4.2739866161540656e-05,0.9645790680573537,0.00010210624056213642,1.802467353039828e-05,COMPLETE
17,0.0,2026-02-05 02:25:31.561624,2026-02-05 02:25:31.595114,0 days 00:00:00.033490,-0.4920207211136465,1.2373765525503073e-05,0.35843764221140434,7.377606966033737e-05,4.261220922594758e-05,COMPLETE
18,0.0,2026-02-05 02:25:31.598181,2026-02-05 02:25:31.631674,0 days 00:00:00.033493,-0.9471931837741143,7.708577856764339e-05,0.6215764174887025,0.00022305286140015217,8.236181735135921e-05,COMPLETE
