number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
0,119.77999999999997,2026-02-06 00:12:17.073150,2026-02-06 00:14:02.453943,0 days 00:01:45.380793,-0.5470263338056238,4.977923862350321,8.567007349346272e-05,0.00011585609387108332,COMPLETE
1,108.4,2026-02-06 00:14:02.459317,2026-02-06 00:15:38.883970,0 days 00:01:36.424653,-0.3009317974669574,1.265635171036183,0.00010530099527656712,8.96760638479109e-05,COMPLETE
2,105.12,2026-02-06 00:15:38.887099,2026-02-06 00:17:15.670104,0 days 00:01:36.783005,-1.6237516994306662,4.7241310078197385,0.0009028553132348087,0.00045036000782467485,COMPLETE
3,107.22,2026-02-06 00:17:15.673446,2026-02-06 00:18:52.684503,0 days 00:01:37.011057,-1.6168599522410132,0.6813682122679292,0.0005554065839643646,3.0098685321946533e-05,COMPLETE
4,91.12,2026-02-06 00:18:52.687822,2026-02-06 00:20:30.791173,0 days 00:01:38.103351,-1.9488206521712699,0.6692536208298214,0.004314559129986096,3.960464651840841e-05,COMPLETE
5,117.66,2026-02-06 00:20:30.794440,2026-02-06 00:22:05.238814,0 days 00:01:34.444374,-0.11217060525287348,1.9708338005730581,0.0011003215596686827,3.412396017669875e-05,COMPLETE
6,120.83999999999999,2026-02-06 00:22:05.242293,2026-02-06 00:23:39.435797,0 days 00:01:34.193504,-1.881897699880467,1.778597940279068,0.004059104406749193,2.9276470607391505e-05,COMPLETE
7,115.92,2026-02-06 00:23:39.439679,2026-02-06 00:25:15.451179,0 days 00:01:36.011500,-0.8023096695803629,2.474314829740934,0.00010523266543663271,0.00033911641710493835,COMPLETE
8,129.83999999999997,2026-02-06 00:25:15.454553,2026-02-06 00:26:54.471463,0 days 00:01:39.016910,-1.8562540534953194,3.4137024323424496,0.002080308776566201,0.00023270129980717324,COMPLETE
9,129.61999999999998,2026-02-06 00:26:54.475533,2026-02-06 00:28:30.184101,0 days 00:01:35.708568,-0.47911403144910714,4.3832041944053675,0.007228025965301249,0.00021578142019272104,COMPLETE
10,103.66,2026-02-06 00:28:30.187388,2026-02-06 00:30:06.272654,0 days 00:01:36.085266,-1.2421314977041842,3.4562852624768636,1.8067908257272494e-05,0.0009933676181724542,COMPLETE
