number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_SURVIVAL_SCALE,state
0,123.42,45:19.7,46:39.7,0 days 00:01:19.913851,3.86E-05,0.000404973,-3.150497172,4.473863161,COMPLETE
1,122.84,46:39.7,47:57.2,0 days 00:01:17.528169,1.21E-05,8.08E-05,-3.92203213,7.292191584,COMPLETE
2,149.1,47:57.2,49:21.4,0 days 00:01:24.218380,2.68E-05,0.000130266,-3.441125021,6.316025838,COMPLETE
3,127.74,49:21.4,50:36.8,0 days 00:01:15.392497,1.20E-05,4.02E-05,-2.528235506,1.159891112,COMPLETE
4,152.12,50:36.8,51:53.8,0 days 00:01:17.013654,6.62E-05,3.75E-05,-0.92089946,2.078602378,COMPLETE
6,127.58,52:57.8,54:27.4,0 days 00:01:29.558769,0.00016525,2.26E-05,-3.606576165,3.236277516,COMPLETE
7,127.68,54:27.4,55:49.4,0 days 00:01:21.997081,0.000780864,0.000264666,-4.885862586,0.696648509,COMPLETE
8,110.86,55:49.4,57:10.1,0 days 00:01:20.677477,1.89E-05,1.51E-05,-3.275974514,8.42651005,COMPLETE
9,113.36,57:10.1,58:30.0,0 days 00:01:19.930865,0.006889449,1.14E-05,-2.084099094,8.173932486,COMPLETE
10,139.76,58:30.0,59:51.2,0 days 00:01:21.240264,0.003037617,1.35E-05,-1.632781801,2.812749244,COMPLETE
11,110.46,59:51.2,01:13.7,0 days 00:01:22.459207,0.000146981,5.15E-05,-0.191736218,2.413953465,COMPLETE
12,129.82,01:13.7,02:35.0,0 days 00:01:21.290296,6.15E-05,0.000169095,-0.918638304,6.157892026,COMPLETE
13,132.36,02:35.0,03:51.7,0 days 00:01:16.649004,0.000540855,0.000669029,-1.179816136,4.978557605,COMPLETE
14,131.74,03:51.7,05:17.0,0 days 00:01:25.313577,5.70E-05,0.000122329,-4.464661241,6.427922039,COMPLETE
15,122.54,05:17.0,06:34.6,0 days 00:01:17.579516,0.000155931,4.00E-05,-2.589368531,9.855295291,COMPLETE
16,117.02,06:34.6,07:49.9,0 days 00:01:15.316160,3.26E-05,8.17E-05,-0.257115379,3.897243064,COMPLETE
17,126,07:49.9,09:04.7,0 days 00:01:14.834799,9.16E-05,0.000198912,-2.638485719,5.82383998,COMPLETE
18,135.28,09:04.7,10:19.1,0 days 00:01:14.435183,0.000346923,2.64E-05,-0.955989666,1.273607488,COMPLETE
19,116.24,10:19.2,11:34.4,0 days 00:01:15.221548,0.001260028,6.08E-05,-1.770207848,2.148433167,COMPLETE
20,121.84,11:34.4,12:48.7,0 days 00:01:14.326952,2.54E-05,0.000121646,-4.217271621,0.195561044,COMPLETE
21,130.36,12:48.7,14:05.6,0 days 00:01:16.910947,0.000247259,0.000907895,-3.382773815,3.984813261,COMPLETE
22,128.8,14:05.6,15:28.9,0 days 00:01:23.319577,0.005597008,2.32E-05,-1.639998295,2.901165508,COMPLETE
23,147.96,15:28.9,16:48.9,0 days 00:01:19.932575,0.003241028,1.47E-05,-1.406719124,1.964269875,COMPLETE
24,130.86,16:48.9,18:03.1,0 days 00:01:14.205873,0.001759921,1.82E-05,-0.633331606,1.774686538,COMPLETE
25,136.84,18:03.1,19:16.2,0 days 00:01:13.113054,7.03E-05,3.17E-05,-1.294550284,5.284838578,COMPLETE
26,141.88,19:16.2,20:28.9,0 days 00:01:12.677989,1.98E-05,1.08E-05,-2.178420752,3.664188423,COMPLETE
27,138.02,20:28.9,21:41.7,0 days 00:01:12.769270,0.009668058,5.90E-05,-2.851184371,7.222425869,COMPLETE
28,147.2,21:41.7,22:54.1,0 days 00:01:12.483184,0.002824967,3.45E-05,-0.555555614,1.504419093,COMPLETE
29,149.94,22:54.1,24:06.9,0 days 00:01:12.796845,0.000299941,1.84E-05,-2.088099956,4.664607841,COMPLETE
30,126.9,24:06.9,25:19.3,0 days 00:01:12.341545,4.16E-05,0.000305467,-3.037975292,4.648924383,COMPLETE
31,139.28,25:19.3,26:31.7,0 days 00:01:12.434875,0.000393991,0.000506692,-2.122042203,7.013377937,COMPLETE
32,167.22,26:31.7,27:44.6,0 days 00:01:12.891402,9.91E-05,1.87E-05,-1.373509005,4.524250918,COMPLETE
33,124.78,27:44.6,28:57.5,0 days 00:01:12.852712,9.53E-05,1.82E-05,-1.941507984,5.402993708,COMPLETE
34,120.96,28:57.5,30:10.4,0 days 00:01:12.931010,0.000217716,7.81E-05,-2.385285721,4.368540447,COMPLETE
35,111.22,30:10.4,31:23.0,0 days 00:01:12.573634,0.000110259,4.58E-05,-3.759324811,8.147603177,COMPLETE
