number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_DISTANCE_DIFF_SCALE,params_REWARD_SURVIVAL_SCALE,state
0,126.1,44:30.7,46:12.0,0 days 00:01:41.326295,0.002816422,1.96E-05,-4.752732778,0,3.145404426,COMPLETE
1,132.16,46:12.0,47:47.6,0 days 00:01:35.586232,0.000665672,3.79E-05,-3.365394692,0,1.489326975,COMPLETE
2,138.82,47:47.6,49:23.9,0 days 00:01:36.282340,0.000438448,4.76E-05,-1.528299481,0,5.329871625,COMPLETE
3,131.4,49:23.9,50:59.6,0 days 00:01:35.712855,0.009649593,0.000187984,-3.938067165,0,7.937151823,COMPLETE
4,136.18,50:59.6,52:36.1,0 days 00:01:36.499180,0.000220366,0.000114802,-3.234965504,0,5.043017733,COMPLETE
5,157.1,52:36.1,54:13.5,0 days 00:01:37.345703,8.74E-05,0.000485011,-1.719410535,0,1.291275603,COMPLETE
6,138.2,54:13.5,55:48.6,0 days 00:01:35.113358,0.000118212,7.72E-05,-0.546036315,0,2.894679854,COMPLETE
7,99.78,55:48.6,57:24.8,0 days 00:01:36.178007,6.14E-05,0.000175929,-1.247597937,0,5.458101892,COMPLETE
8,139.26,57:24.8,59:03.8,0 days 00:01:39.082901,0.006682511,0.000375112,-4.826984692,0,6.898755706,COMPLETE
9,117.22,59:03.8,00:38.8,0 days 00:01:34.995115,0.00022279,9.02E-05,-1.359947677,0,5.347490193,COMPLETE
10,144.58,00:38.8,02:15.2,0 days 00:01:36.346261,1.21E-05,0.00095524,-2.487042156,0,0.163771564,COMPLETE
12,130.92,03:21.1,05:01.7,0 days 00:01:40.566573,1.05E-05,0.000992818,-2.323735284,0,0.297648635,COMPLETE
13,142.36,05:01.7,06:42.8,0 days 00:01:41.135712,1.68E-05,0.000935877,-2.303899998,0,0.283867864,COMPLETE
14,137.68,06:42.8,08:22.2,0 days 00:01:39.381108,3.18E-05,0.000445333,-1.950744053,0,9.704258095,COMPLETE
15,127.88,08:22.2,09:59.6,0 days 00:01:37.446809,4.18E-05,0.000464804,-2.923871183,0,2.046092781,COMPLETE
16,125.8,09:59.6,11:39.9,0 days 00:01:40.221051,0.001199741,0.000645349,-0.531253274,0,1.478555537,COMPLETE
17,124.98,11:39.9,13:18.2,0 days 00:01:38.318443,7.65E-05,0.000263425,-3.940883228,0,3.580188844,COMPLETE
18,140.34,13:18.2,14:55.6,0 days 00:01:37.386522,2.23E-05,0.000662869,-1.743172206,0,0.171831036,COMPLETE
19,118.12,14:55.6,16:34.1,0 days 00:01:38.562157,0.000121416,0.000291336,-0.945548735,0,2.064957512,COMPLETE
20,154.1,16:34.1,18:11.5,0 days 00:01:37.336963,1.07E-05,0.000595238,-2.608218133,0,3.926531244,COMPLETE
21,108.2,18:11.5,19:42.4,0 days 00:01:30.891927,0.001146445,1.15E-05,-0.100157221,0,3.966585953,COMPLETE
