number,value,datetime_start,datetime_complete,duration,params_COS_PENALTY_SCALE,params_ENT_COEF,params_LEARNING_RATE,params_REWARD_HIDDEN_BONUS,state
0,240.04000000000002,2026-02-10 15:29:27.482276,2026-02-10 15:31:18.331797,0 days 00:01:50.849521,3.616775698499007,0.0005986769894195455,0.0001782984022901474,0.9407866923054153,COMPLETE
1,239.68,2026-02-10 15:31:18.336780,2026-02-10 15:33:07.508117,0 days 00:01:49.171337,4.843644534458737,0.004933802177468577,0.00010541512628674043,1.1564374752919864,COMPLETE
2,243.72000000000003,2026-02-10 15:33:07.511510,2026-02-10 15:35:19.735203,0 days 00:02:12.223693,1.8461393361139058,0.0002487368511884159,9.557995718075153e-05,0.7668883284814004,COMPLETE
3,,2026-02-10 15:35:19.739074,2026-02-10 15:36:04.375071,0 days 00:00:44.635997,2.658517699268558,0.00018930330952756757,9.002838719799755e-05,0.8784303385300234,FAIL
4,226.56,2026-02-10 15:36:13.064669,2026-02-10 15:37:43.228524,0 days 00:01:30.163855,2.904706219980334,0.00029825999066050165,0.0003518647505560298,1.5669131850020501,COMPLETE
5,237.32000000000002,2026-02-10 15:37:43.235229,2026-02-10 15:39:12.633599,0 days 00:01:29.398370,2.207489071887697,0.0008050988220550519,5.661469178508511e-05,1.0841986281514118,COMPLETE
6,237.64000000000001,2026-02-10 15:39:12.636959,2026-02-10 15:40:46.360223,0 days 00:01:33.723264,4.117801844573864,0.0002246108705947284,9.597575044006103e-05,1.4570656743082437,COMPLETE
7,244.42,2026-02-10 15:40:46.363994,2026-02-10 15:42:17.483967,0 days 00:01:31.119973,2.8564015798989253,0.00016968386691041748,0.00024314543672524357,1.229512243288924,COMPLETE
8,234.16,2026-02-10 15:42:17.488686,2026-02-10 15:43:47.640578,0 days 00:01:30.151892,2.4023168488247264,0.00021679808260299325,8.305638780610456e-05,0.3289648500971037,COMPLETE
9,237.4,2026-02-10 15:43:47.643728,2026-02-10 15:45:17.285288,0 days 00:01:29.641560,4.170794946370103,0.000102922512128396,0.00025324888500690774,1.466444240498587,COMPLETE
10,246.13999999999996,2026-02-10 15:45:17.288916,2026-02-10 15:46:44.135487,0 days 00:01:26.846571,2.4380808377507535,0.002442394749865704,0.00011900813976068212,1.5660837484096457,COMPLETE
11,225.6,2026-02-10 15:46:44.139408,2026-02-10 15:48:10.983255,0 days 00:01:26.843847,0.5519978362074074,0.0032702817226848285,0.0001475776858138467,1.8555786714414029,COMPLETE
12,240.28000000000003,2026-02-10 15:48:10.986420,2026-02-10 15:49:37.857656,0 days 00:01:26.871236,1.6138716774407424,0.0017448003174185959,0.00045571047909254907,1.9124866711388053,COMPLETE
13,233.1,2026-02-10 15:49:37.861126,2026-02-10 15:51:05.128263,0 days 00:01:27.267137,2.98375727107622,0.001636403550698415,0.00020664094677980233,0.599879880504185,COMPLETE
14,236.2,2026-02-10 15:51:05.131454,2026-02-10 15:52:32.531060,0 days 00:01:27.399606,1.2084675013761443,0.00010171555973064436,0.00029179899272470063,1.3565090659059074,COMPLETE
15,241.9,2026-02-10 15:52:32.534323,2026-02-10 15:53:59.562854,0 days 00:01:27.028531,3.389902862359092,0.0007215719231973613,0.00014798956761455462,1.7605271167713343,COMPLETE
16,245.71999999999997,2026-02-10 15:53:59.566360,2026-02-10 15:55:27.188439,0 days 00:01:27.622079,2.571330893671943,0.0015335398568120714,5.014117454204572e-05,1.2232369965817165,COMPLETE
17,239.21999999999997,2026-02-10 15:55:27.191820,2026-02-10 15:56:54.665732,0 days 00:01:27.473912,2.2865639539292193,0.001849479782892166,6.734381843082441e-05,1.6828820463316976,COMPLETE
18,246.34,2026-02-10 15:56:54.669459,2026-02-10 15:58:21.730836,0 days 00:01:27.061377,1.1937233554755835,0.0010905769590983756,5.280827200823041e-05,0.8417925696228481,COMPLETE
19,248.45999999999998,2026-02-10 15:58:21.734945,2026-02-10 15:59:49.320430,0 days 00:01:27.585485,0.9517051891809651,0.0028401358324070727,7.328339233718316e-05,0.23206289000847036,COMPLETE
20,250.24,2026-02-10 15:59:49.324126,2026-02-10 16:01:16.192138,0 days 00:01:26.868012,0.5384444643462218,0.0011224505304053326,6.708187432504391e-05,0.10407306151493914,COMPLETE
21,237.35999999999999,2026-02-10 16:01:16.195729,2026-02-10 16:02:43.767271,0 days 00:01:27.571542,0.5216751608016641,0.00041196585438292474,6.872041457183196e-05,0.13616968415442338,COMPLETE
22,237.3,2026-02-10 16:02:43.770476,2026-02-10 16:04:11.101121,0 days 00:01:27.330645,1.0715597597552595,0.0010460670969290702,6.652979192435968e-05,0.4231356713063039,COMPLETE
23,232.95999999999998,2026-02-10 16:04:11.104588,2026-02-10 16:05:38.697292,0 days 00:01:27.592704,1.038298820197358,0.0011205584869788934,7.913130036495053e-05,0.10912239969115119,COMPLETE
24,253.38000000000002,2026-02-10 16:05:38.700456,2026-02-10 16:07:18.728990,0 days 00:01:40.028534,1.4811008453526253,0.003079052414206469,5.214147385590957e-05,0.282425644026407,COMPLETE
25,255.96000000000004,2026-02-10 16:07:18.732397,2026-02-10 16:08:45.277863,0 days 00:01:26.545466,1.6238344223411487,0.003690963033502363,6.0790402139100515e-05,0.34146339323685104,COMPLETE
26,235.2,2026-02-10 16:08:45.281889,2026-02-10 16:10:12.543202,0 days 00:01:27.261313,1.5695904982027715,0.004531617920539064,5.8942376502479034e-05,0.4735462846165258,COMPLETE
27,238.42000000000002,2026-02-10 16:10:12.546571,2026-02-10 16:11:39.353585,0 days 00:01:26.807014,1.8551806366064998,0.003564775842300956,0.00011704095627725876,0.630985553378246,COMPLETE
28,241.51999999999998,2026-02-10 16:11:39.356896,2026-02-10 16:13:06.714778,0 days 00:01:27.357882,1.4996551536325675,0.002404720478625636,6.041173656497213e-05,0.2870378146679641,COMPLETE
29,246.34,2026-02-10 16:13:06.717981,2026-02-10 16:14:34.292121,0 days 00:01:27.574140,0.7569445433051074,0.0038459488488901596,8.370693104370551e-05,0.5224378746552475,COMPLETE
30,248.98000000000002,2026-02-10 16:14:34.295930,2026-02-10 16:16:02.531252,0 days 00:01:28.235322,1.957628666221731,0.0005294909556319015,5.0072317582044644e-05,0.7447672523797667,COMPLETE
31,232.08,2026-02-10 16:16:02.534923,2026-02-10 16:17:30.145137,0 days 00:01:27.610214,1.4049084728405556,0.002264828471720589,0.00017516985320795524,0.3765813285311854,COMPLETE
32,235.84,2026-02-10 16:17:30.148410,2026-02-10 16:18:57.948515,0 days 00:01:27.800105,1.8508230722369343,0.000488834462102714,5.04286269270746e-05,0.7262225807077998,COMPLETE
33,249.48000000000002,2026-02-10 16:18:57.952030,2026-02-10 16:20:25.552630,0 days 00:01:27.600600,2.0747210686386017,0.0005630796942524756,6.187946554484448e-05,0.19861344549168952,COMPLETE
34,236.5,2026-02-10 16:25:02.689811,2026-02-10 16:26:40.257564,0 days 00:01:37.567753,2.034655213863094,0.00038507501055506547,6.17207478801675e-05,0.2056144307179549,COMPLETE
35,238.6,2026-02-10 16:26:40.264553,2026-02-10 16:28:10.449348,0 days 00:01:30.184795,0.8030268857670553,0.0008669966521827315,9.592258323074909e-05,0.9369200024572935,COMPLETE
36,234.4,2026-02-10 16:28:10.452585,2026-02-10 16:29:43.702497,0 days 00:01:33.249912,1.2962790749116588,0.0006255934022977403,7.447009935174373e-05,0.19699782132411814,COMPLETE
37,234.74,2026-02-10 16:29:43.706401,2026-02-10 16:31:17.935815,0 days 00:01:34.229414,1.6219357189115546,0.004743502156402699,0.00011475614032277793,0.33505956583128643,COMPLETE
38,228.64000000000001,2026-02-10 16:31:17.939205,2026-02-10 16:32:50.367140,0 days 00:01:32.427935,3.1243927296768064,0.0013478089015779573,8.763631177836269e-05,0.5742963804065174,COMPLETE
39,238.26,2026-02-10 16:32:50.370425,2026-02-10 16:34:21.177819,0 days 00:01:30.807394,2.11966459244026,0.00034777612436692567,5.8100303166385885e-05,0.1019181309526774,COMPLETE
40,,2026-02-10 16:34:21.181312,2026-02-10 16:35:27.099171,0 days 00:01:05.917859,0.8430060141868845,0.003020399978888993,0.0001016320309861015,0.4423939091669623,FAIL
41,240.0,2026-02-10 17:38:50.212823,2026-02-10 17:40:11.979933,0 days 00:01:21.767110,4.9606534531350785,0.002978180431261085,0.00010546289443616926,0.44916973004147714,COMPLETE
42,243.48000000000002,2026-02-10 17:40:11.984472,2026-02-10 17:41:33.557583,0 days 00:01:21.573111,2.750992802621803,0.000900576590311724,6.760727024645262e-05,0.2856501859353943,COMPLETE
43,248.54000000000002,2026-02-10 17:41:33.560970,2026-02-10 17:42:58.061437,0 days 00:01:24.500467,1.97477110617703,0.00048743956561559103,5.495205943662394e-05,0.7540775493773383,COMPLETE
44,237.03999999999996,2026-02-10 17:42:58.065159,2026-02-10 17:44:28.934104,0 days 00:01:30.868945,1.738307180430311,0.0005336932724061537,5.925329459224169e-05,1.0083564209051914,COMPLETE
45,248.2,2026-02-10 17:44:28.937356,2026-02-10 17:46:00.802598,0 days 00:01:31.865242,2.47601231865457,0.00028551492889340637,6.359308940287017e-05,0.3851508350118213,COMPLETE
46,244.85999999999999,2026-02-10 17:46:00.806244,2026-02-10 17:47:32.291998,0 days 00:01:31.485754,2.173484919474517,0.0006098378238459373,7.577558472084264e-05,0.6550405108496414,COMPLETE
47,242.5,2026-02-10 17:47:32.295490,2026-02-10 17:48:55.693387,0 days 00:01:23.397897,4.559850948666536,0.0007103407903038147,5.566318410869593e-05,0.1906216287483177,COMPLETE
48,234.3,2026-02-10 17:48:55.696524,2026-02-10 17:50:21.380049,0 days 00:01:25.683525,0.7633382509102711,0.001992683118162738,5.0359612041358895e-05,0.521554353185846,COMPLETE
49,240.1,2026-02-10 17:50:21.383052,2026-02-10 17:51:46.045971,0 days 00:01:24.662919,2.5835789150631627,0.00020344917642259148,8.91926935835141e-05,0.2758895685226656,COMPLETE
50,237.42000000000002,2026-02-10 17:51:46.048843,2026-02-10 17:53:09.099809,0 days 00:01:23.050966,1.4043647572699154,0.003999370807608963,7.218863809857735e-05,0.9179272083596366,COMPLETE
51,234.38000000000002,2026-02-10 17:53:09.102786,2026-02-10 17:54:32.166714,0 days 00:01:23.063928,2.304883026126919,0.0013995371458246134,0.00036345578713490077,0.3355727744169871,COMPLETE
52,243.64000000000001,2026-02-10 17:54:32.169778,2026-02-10 17:55:54.831391,0 days 00:01:22.661613,1.6891173093452314,0.00030298062234963147,6.420262246503617e-05,0.1797084812159085,COMPLETE
53,238.34,2026-02-10 17:55:54.834494,2026-02-10 17:57:24.488073,0 days 00:01:29.653579,1.9251122913013086,0.0005310083979340139,5.556122020103376e-05,1.1123653824095847,COMPLETE
54,251.76,2026-02-10 17:57:24.491037,2026-02-10 17:58:47.755419,0 days 00:01:23.264382,2.0301138224279476,0.00045090805452201204,5.4267032423299425e-05,0.7820158966027657,COMPLETE
55,229.4,2026-02-10 17:58:47.758672,2026-02-10 18:00:10.723813,0 days 00:01:22.965141,3.8182103918599677,0.000433785415027105,5.4017062434864477e-05,0.8609778771026652,COMPLETE
56,249.34,2026-02-10 18:00:10.726864,2026-02-10 18:01:33.588945,0 days 00:01:22.862081,2.2313149436877806,0.0007744268090985608,5.0105325850100485e-05,0.7121997063797066,COMPLETE
57,243.56,2026-02-10 18:01:33.592546,2026-02-10 18:02:56.637937,0 days 00:01:23.045391,2.649872486628289,0.0007614813398591702,6.291212975593295e-05,1.043667692009345,COMPLETE
