number,value,datetime_start,datetime_complete,duration,params_rw_hide_wall_stick_penalty,state
0,0.85,2026-03-09 15:32:02.349398,2026-03-09 15:32:52.394717,0 days 00:00:50.045319,0.06864723101533901,COMPLETE
1,0.74,2026-03-09 15:32:52.401123,2026-03-09 15:33:42.794617,0 days 00:00:50.393494,0.23572334306818696,COMPLETE
2,0.86,2026-03-09 15:33:42.798697,2026-03-09 15:34:35.120796,0 days 00:00:52.322099,0.26058557253672343,COMPLETE
3,0.84,2026-03-09 15:34:35.126380,2026-03-09 15:35:29.007849,0 days 00:00:53.881469,0.3033996183183397,COMPLETE
4,0.84,2026-03-09 15:35:29.011934,2026-03-09 15:36:26.291838,0 days 00:00:57.279904,0.20214579190462162,COMPLETE
5,0.72,2026-03-09 15:36:26.295766,2026-03-09 15:37:20.342918,0 days 00:00:54.047152,0.28609596262578574,COMPLETE
6,0.82,2026-03-09 15:37:20.347756,2026-03-09 15:38:17.226485,0 days 00:00:56.878729,0.23431448886247133,COMPLETE
7,0.79,2026-03-09 15:38:17.231191,2026-03-09 15:39:15.521187,0 days 00:00:58.289996,0.28667183172518634,COMPLETE
8,0.61,2026-03-09 15:39:15.525685,2026-03-09 15:40:13.965279,0 days 00:00:58.439594,0.17845112998444715,COMPLETE
9,0.69,2026-03-09 15:40:13.968978,2026-03-09 15:41:16.185332,0 days 00:01:02.216354,0.4329796595900485,COMPLETE
10,0.76,2026-03-09 15:41:16.189534,2026-03-09 15:42:21.734604,0 days 00:01:05.545070,0.4943599455647162,COMPLETE
11,0.69,2026-03-09 15:42:21.738648,2026-03-09 15:43:21.874543,0 days 00:01:00.135895,0.01102469812894677,COMPLETE
12,0.88,2026-03-09 15:43:21.878905,2026-03-09 15:44:15.073530,0 days 00:00:53.194625,0.08079428314195486,COMPLETE
13,0.79,2026-03-09 15:44:15.077932,2026-03-09 15:45:07.771520,0 days 00:00:52.693588,0.09600799061054743,COMPLETE
14,0.8,2026-03-09 15:45:07.775415,2026-03-09 15:45:59.939292,0 days 00:00:52.163877,0.377720939878589,COMPLETE
15,0.78,2026-03-09 15:45:59.943034,2026-03-09 15:46:51.758576,0 days 00:00:51.815542,0.14066354794279484,COMPLETE
16,0.77,2026-03-09 15:46:51.762259,2026-03-09 15:47:49.159296,0 days 00:00:57.397037,0.3493260232706044,COMPLETE
17,0.87,2026-03-09 15:47:49.162898,2026-03-09 15:48:42.489151,0 days 00:00:53.326253,0.017805593853598756,COMPLETE
18,0.74,2026-03-09 15:48:42.492765,2026-03-09 15:49:35.440997,0 days 00:00:52.948232,0.018106815632416815,COMPLETE
19,0.84,2026-03-09 15:49:35.444917,2026-03-09 15:50:28.156471,0 days 00:00:52.711554,0.09225269582589789,COMPLETE
